,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,lonlat_product,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times,lon x lat,time x lon x lat
52,48,100,50,33.7163427695,34.995063096284866,461.8818359375,180.0,18457.6,5000,240000,830592.0,262665.99318753247,0.0005560875085932,283333.6728354569,100x50,48x100x50
31,1,50,100,551.673030626625,798.419728666544,1423.75634765625,192.0,17304.0,5000,5000,830592.0,30809.437020208992,0.0017141464734264,28876.722117246703,50x100,1x50x100
48,24,50,100,54.691927390125,58.07165786623955,451.32763671875,192.0,17304.0,5000,120000,830592.0,261165.69773504883,0.0005433806691116,252354.36180358735,50x100,24x50x100
29,1,100,50,691.86860323725,743.7218216955662,1331.7060546875,180.0,18457.6,5000,5000,830592.0,33616.60824521877,0.0016033215522031,31868.158891356143,100x50,1x100x50
43,24,100,50,53.47312689462501,55.44843530654907,448.70556640625,180.0,18457.6,5000,120000,830592.0,270575.06736243784,0.0005402237998996,261042.79814792547,100x50,24x100x50
21,1440,100,50,23.707868702500008,14.650002151727676,2222.47216796875,180.0,18457.6,5000,7200000,830592.0,45152.299516911095,0.0026757688106419,67211.50917142225,100x50,1440x100x50
62,5136,100,50,62.09003893737502,33.61601188778877,1876.9189453125,180.0,18457.6,5000,25680000,830592.0,13817.235585525774,0.0022597363631151,25645.74577526769,100x50,5136x100x50
58,48,50,100,35.43836586625,36.35787990689278,460.67529296875,192.0,17304.0,5000,240000,830592.0,265294.9775123033,0.0005546348784586,285272.5104622221,50x100,48x50x100
67,5136,50,100,62.828628630875045,35.00119110941887,1870.0966796875,192.0,17304.0,5000,25680000,830592.0,13601.838537918877,0.0022515226244503,24881.726112651813,50x100,5136x50x100
71,6,100,50,149.021215419625,136.52790614962578,452.3134765625,180.0,18457.6,5000,30000,830592.0,185987.63652279985,0.0005445675813907,168065.77372076327,100x50,6x100x50
17,12,50,100,60.966925453375055,98.20430079102516,407.34814453125,192.0,17304.0,5000,60000,830592.0,258404.61829924287,0.0004904310955694,243907.3885737373,50x100,12x50x100
12,12,100,50,64.513497148875,95.03102040290833,388.94287109375,180.0,18457.6,5000,60000,830592.0,228905.7090134369,0.0004682718724641,237918.5018980804,100x50,12x100x50
76,6,50,100,154.416789233625,144.7195299565792,466.3115234375,192.0,17304.0,5000,30000,830592.0,159187.74682107975,0.0005614206775859,173194.60300438927,50x100,6x50x100
